CTY_CODE,CTY_NAME,GEN_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,MONTH,SUMMARY_LVL,COMM_LVL,I_COMMODITY,YEAR
-,TOTAL FOR ALL COUNTRIES,3027371,3024347,325446,0,0,0,0,01,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,3036437,2933922,311464,0,0,0,0,02,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,3684164,3677448,365168,0,0,0,0,03,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,3707556,3704496,353882,0,0,0,0,04,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,3294739,3294739,345155,0,0,0,0,05,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,3095900,2860600,307345,0,0,0,0,06,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,2831040,2831040,310838,0,0,0,0,07,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,2936378,2936378,314790,0,0,0,0,08,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,3132381,3132381,353286,0,0,0,0,09,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,3163174,3163174,346694,0,0,0,0,10,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,3681874,3681874,315513,0,0,0,0,11,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,2949164,2949164,283603,0,0,0,0,12,DET,HS6,030111,2018
-,TOTAL FOR ALL COUNTRIES,541992,541992,75429,0,0,0,0,01,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,499549,499549,60473,0,0,0,0,02,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,906573,906573,104365,0,0,0,0,03,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,513081,513081,61601,0,0,0,0,04,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,506577,506577,61925,0,0,0,0,05,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,517461,517461,59374,0,0,0,0,06,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,477027,477027,58401,0,0,0,0,07,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,532129,532129,65402,0,0,0,0,08,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,541332,541332,63090,0,0,0,0,09,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,623786,623786,79535,0,0,0,0,10,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,563009,563009,69435,0,0,0,0,11,DET,HS6,030119,2018
-,TOTAL FOR ALL COUNTRIES,492355,492355,66077,0,0,0,0,12,DET,HS6,030119,2018
