CTY_CODE,CTY_NAME,GEN_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,MONTH,SUMMARY_LVL,COMM_LVL,I_COMMODITY,YEAR
-,TOTAL FOR ALL COUNTRIES,3177388,3173638,346104,0,0,0,0,01,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,3274993,3270020,328729,0,0,0,0,02,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,2294827,2287349,241272,0,0,0,0,03,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,738940,738940,61724,0,0,0,0,04,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,2185062,2179262,221713,0,0,0,0,05,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,3046422,3041544,335496,0,0,0,0,06,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,3083356,3073125,326839,0,0,0,0,07,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,3448103,3437085,357432,0,0,0,0,08,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,3132479,3129494,318043,0,0,0,0,09,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,3618056,3615551,359105,0,0,0,0,10,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,3731656,3731656,312048,0,0,0,0,11,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,5171066,5165222,324989,0,0,0,0,12,DET,HS6,030111,2020
-,TOTAL FOR ALL COUNTRIES,574109,574109,73260,0,0,0,0,01,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,703619,703619,85168,0,0,0,0,02,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,555287,555287,67392,0,0,0,0,03,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,226309,226309,27107,0,0,0,0,04,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,485158,485158,69724,0,0,0,0,05,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,543777,543777,75220,0,0,0,0,06,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,621058,621058,78782,0,0,0,0,07,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,602693,602693,75317,0,0,0,0,08,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,819104,819104,89304,0,0,0,0,09,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,765943,765943,78210,0,0,0,0,10,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,641813,641813,69458,0,0,0,0,11,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,798340,798340,88739,0,0,0,0,12,DET,HS6,030119,2020
-,TOTAL FOR ALL COUNTRIES,181751,181751,14751,0,0,0,0,01,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,94646,94646,8841,0,0,0,0,02,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,72756,72756,12356,0,0,0,0,03,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,9800,9800,150,0,0,0,0,04,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,05,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,06,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,07,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,08,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,09,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,16535,16535,3058,0,0,0,0,10,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,3487,3487,215,0,0,0,0,11,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,28870,28870,1800,0,0,0,0,12,DET,HS6,030191,2020
-,TOTAL FOR ALL COUNTRIES,2260955,0,0,2238079,1020032,2238079,1020032,01,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,1259699,0,0,1255187,548648,1255187,548648,02,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,1820659,0,0,1751982,823155,1751982,823155,03,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,2035639,0,0,2003410,1022076,1956160,998683,04,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,1777493,0,0,1743368,858712,1743368,858712,05,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,1995965,0,0,1988698,943841,1988698,943841,06,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,1630249,0,0,1613769,841131,1613769,841131,07,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,1328375,0,0,1238280,624251,1238280,624251,08,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,1873183,0,0,1833683,834796,1833683,834796,09,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,1295049,0,0,1145686,564422,1145686,564422,10,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,2305838,0,0,2113215,1024672,2113215,1024672,11,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,2240597,0,0,2142226,1184860,2142226,1184860,12,DET,HS6,030354,2020
-,TOTAL FOR ALL COUNTRIES,219035,149248,15434,0,0,0,0,01,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,113114,113114,12624,0,0,0,0,02,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,39031,39031,9794,0,0,0,0,03,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,04,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,19695,2496,142,0,0,0,0,05,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,16749,0,0,0,0,0,0,06,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,9093,4995,329,0,0,0,0,07,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,46471,32506,3027,0,0,0,0,08,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,177224,19790,3425,0,0,0,0,09,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,239619,156111,19066,0,0,0,0,11,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,190971,32683,3706,0,0,0,0,10,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,159470,42782,12438,0,0,0,0,12,DET,HS6,030192,2020
-,TOTAL FOR ALL COUNTRIES,25506,0,0,0,0,0,0,01,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,22378,0,0,0,0,0,0,02,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,7906,0,0,0,0,0,0,03,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,11995,0,0,0,0,0,0,04,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,15431,0,0,0,0,0,0,05,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,14460,0,0,0,0,0,0,06,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,12340,0,0,0,0,0,0,07,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,14526,0,0,0,0,0,0,08,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,11688,0,0,0,0,0,0,09,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,15013,0,0,0,0,0,0,10,DET,HS6,030193,2020
